team,handle,name,desc,use
CIN,toddrew221.bsky.social,Drew,Credentialed Ohio State Media at Last Word On College Football | Bengals Beat at @LWOS-NFL.bsky.social | FWAA | he/him | Pro Bat Flip,1
CLE,ashleybastock42.bsky.social,Ashley Bastock,Browns beat reporter for Cleveland.com | Some Cavs too | John Carroll University alum | Human to PaulAnka the bernedoodle | Pilates goer and Peloton rider. | Th,1
CLE,ceasterlingabj.bsky.social,Chris Easterling,Cleveland Browns beat writer for Akron Beacon Journal and Gannett Ohio. University of Kentucky alumnus. PFWA member. Father of Bri.,1
CLE,coachwilson66.bsky.social,Matt Wilson,Cleveland Browns insider/staff writer for Dawgs by Nature through SBNation.com.  Owner of the Dawg Pound Dispatch. 🔗 https://open.substack.com/pub/dawgpounddisp,1
DAL,calvinwatkins.bsky.social,calvinwatkins.bsky.social,Cowboys beat writer for the Dallas Morning News.,1
DAL,jctsports.bsky.social,Josh Tolentino,"Dallas Cowboys beat reporter, LoneStarLive.com",1
DAL,joejhoyt.bsky.social,Joseph Hoyt,"Cowboys reporter for The Dallas Morning News. San Francisco Born, Oregon made, Dallas living.   Story tips: Joseph.hoyt@dallasnews.com",1
DAL,bystephenm.bsky.social,Stephen Michael,"San Antonio sports reporter covering the Spurs, SAFC, Longhorns, Cowboys & Wings. Reporter & Founder @lonestarsj.com. 12+ years covering Texas sports.  LoneStar",1
DAL,mjohnsonky.bsky.social,Michael,"Get busy living or get busy dying. If it’s not one thing, it’s another. Kentucky Wildcats, Cincinnati Reds and Dallas Cowboys. Newspaper reporter and editor in ",1
DAL,rjochoa.bsky.social,RJ Ochoa,"Manager & Editor-In-Chief of Blogging The Boys covering the Dallas Cowboys for SB Nation丨Cronkite ASU | Husband, Dad, Son | God Bless",1
DAL,tommyyarrish.bsky.social,Tommy Yarrish,Covering the Dallas Cowboys for dallascowboys.com. PxP for Dave Campbell’s Texan Live. 1/3 of the Hook ‘em Hoops podcast. Texas alum 🤘🏼. Kindness is easy! Joshu,1
DEN,parkerjgabriel.bsky.social,Parker Gabriel,"Broncos beat reporter for The Denver Post.   Formerly: USA Today, Lincoln Journal Star, Bozeman Daily Chronicle   Wisconsin grad. New Glarus native. ",1
DEN,codyroarknfl.bsky.social,Cody Roark,Credentialed Broncos beat reporter for Mile High Sports | Host of Locked On Broncos.,1
DEN,zacstevens.bsky.social,Zac Stevens,Denver Broncos beat reporter for DNVR Broncos @ DNVR Sports — Colorado guy covering Colorado's team,1
DEN,ajvicens.bsky.social,AJ Vicens,"Cybersecurity correspondent at Reuters; former Mother Jones, CyberScoop. Will bore you with skateboarding, UFO lore or Denver Broncos minutiae on request. Signa",1
DEN,nickkosmider.bsky.social,Nick Kosmider,Denver Broncos reporter at The Athletic. Posts fueled by caffeine. ,1
DEN,berrmeat.bsky.social,BERRMEAT,Former Denver Nuggets/Broncos reporter. DEN.,1
DEN,henrychisholm.bsky.social,Henry Chisholm,Denver Broncos reporter for DNVR. University of Montana alum.,1
DET,beatlions.bsky.social,Lions beat writers replyer guy,I reply to Lions beat writers. That’s…pretty much it.,1
DET,davebirkett.bsky.social,Dave Birkett,Detroit Lions beat writer for the Detroit Free Press. 4x Michigan Sportswriter of the Year.,1
DET,detroitfootball.net,Justin Rogers | DFN,Detroit Lions beat reporter since 2011. Founder of the Detroit Football Network. Formerly MLive and Detroit News.  https://allmylinks.com/detroitfootballnetwork,1
DET,nolanbianchi.bsky.social,Nolan Bianchi,Lions beat writer for The Detroit News | 2017 Hour Media Cornhole Tournament runner-up ,1
DET,korywoods.bsky.social,"Kory Woods, MSW","Detroit Lions beat writer @mlive. Co-host, Dungeon of Doom podcast. Lifelong pro wrestling fanatic. Hoop Lover. EMich (BS) | UMich – AA (MSW). ΚΑΨ (ΔΝ, Spr. 08)",1
DET,detroitonlion.bsky.social,Jeremy Reisman,"“Impressive mustache,” average writer. @Lions beat for @PrideOfDetroit",1
DET,quack0i.bsky.social,quack,lions beat pokemon every day of the week,1
DET,nateatkins.bsky.social,Nate Atkins,"Senior Writer covering the Los Angeles Rams for The Athletic | Formerly of the Colts, Lions and Bears beats | Hebrews 11:1  https://www.nytimes.com/athletic/aut",1
DET,richardsilva18.bsky.social,Richard Silva,Covering the Lions (among other things) for The Detroit News | Reach out: rsilva@detroitnews.com,1
GB,mattschneidman.bsky.social,Matt Schneidman,Packers beat writer for The Athletic • Matt Schneidman Show on 97.3 The Game M-F 6-7 p.m. CT • Host of the Matt LaFleur Podcast • Brick and the Stick podcast wi,1
GB,dairecarragher.bsky.social,Daire Carragher,Covering the Packers for PackerReport.com  Slightly less formally on BlueSky. Majority of my stuff is still on the sad app,1
HOU,jonmalexander.bsky.social,Jonathan M. Alexander,Houston Texans beat reporter for the Houston Chronicle.   On a search for the most interesting stories pertaining to the Texans.,1
IND,jakearthurnfl.bsky.social,Jake Arthur,On the Indianapolis Colts beat for Roundtable Sports and the Locked On Colts podcast.,1
IND,genepereira1.bsky.social,Gene Pereira,"Barrie Colts beat writer for Barrie 360, Colts colour analyst for Rogers TV, and big brother to Mikita the wonder dog. ",1
IND,stephenholder-nfl.bsky.social,Stephen Holder,"Colts/NFL reporter, ESPN.com. South Florida native. Don’t do hot takes.",1
IND,chappy51.bsky.social,Mike Chappell,"Been covering the Colts since 1984. Some very, very good; some very, very bad and lots in between. Long-time member of Pro Football Hall of Fame Selection Commi",1
IND,joelaerickson.bsky.social,Joel A. Erickson,"Colts insider for @IndyStar. FOX59/CBS4 analyst. Husband, father, goldendoodle owner, Mizzou & SJI alum. Psalms 73:26",1
KC,jessenewell.bsky.social,Jesse Newell,Chiefs beat writer for The Athletic. jnewell@theathletic.com,1
KC,edeastonjr.bsky.social,Ed Easton Jr.,Award-winning multimedia journalist and streaming media professional - EdEastonJr.com  * Kansas City Chiefs - Sr. Beat Writer (USA Today SMG / NFL Wire)  * News,1
KC,bynatetaylor.bsky.social,Nate Taylor,Chiefs writer with ESPN. Sam Salary called me the Black Peter Parker. Husband to lovely Holly Taylor. Father to Hayden & Noah. UCM alumni. Home is always KC. Je,1
KC,glockmahomes.bsky.social,Glock Mahomes,Chiefs Reporter and Analyst 🚀🏟️  #Chiefs #ChiefsKingdom || 3Peat LFG 🏆,1
LV,raidersbeat.bsky.social,RaidersBeat,"Raiders Beat ~ 🇺🇸 ~ Las Vegas Raiders News, Rumors, Opinion, Analysis ~ PFWA ~ Inquiries: Contact@RaidersBeat.com",1
LV,amytrask.bsky.social,Amy Trask,Analyst CBS Sports * Author: You Negotiate Like A Girl * BIG3 Board of Directors; LA Sports And Entertainment Commission Advisory Board * Shrine Bowl Advisory T,1
LV,grahamcarpentr.bsky.social,,"Covering the Raiders, writing for the LSJ and talking on the Couch and the Rube podcast. Go Green and Raider up! By the way I've lived in Kalamazoo.",1
LAC,elliottteaford.bsky.social,Elliott Teaford,"Los Angeles Chargers beat reporter for the OC Register/Southern California News Group. Recovering MLB, NBA, NHL reporter. ",0
LAC,nategosney.bsky.social,Nate Gosney,Comms @ CSUSB | Chaffey College Graduate | Chargers Beat Writer: Last Word On Sports ⚡ | Chaffey College Journalism Assistant | https://linktr.ee/nategosney |,0
LAC,realframirez.bsky.social,Fernando Ramirez,Chargers Reporter for @sportingtrib 🎙: Compas on the Beat. Once told by Deion Sanders my genetics are off the chain. Email: fjramirezblair@gmail.com,1
LAC,footballbynikko.bsky.social,,"Covering the Rams, Chargers, and UCLA Football @lafbnetwork",1
LA,adamgrosbard.bsky.social,Adam Grosbard,Rams beat writer for LA Daily News/OC Register. He/him.,1
LA,jourdanrodrigue.bsky.social,Jourdan Rodrigue,"Senior NFL writer for The Athletic. Creator of “The Playcallers” and “Finding Rams”.  🎙️ NFL Daily ➡️ Stay curious, stay kind.",1
LA,gregbeacham.bsky.social,Greg Beacham,"Reporter for The Associated Press in Los Angeles covering the Rams, Lakers, USC football, SoCal MLB, LAFC/Galaxy, Ducks/Kings hockey, boxing & MMA. Desert-raise",1
LA,apzonerunner.com,Alex Donaldson,"Video game critic. Final Boss @RPGSite.net & @Respec.net. Ronin writer & consultant. Formerly Editor-at-large for Eurogamer/VG247.  Love: Arcade cabs, Watches, ",1
MIA,ml-j.bsky.social,Marcel Louis-Jacques,Miami Dolphins reporter for ESPN NFL Nation,1
MIA,3ypc.bsky.social,3YardsPerCarry,Podcast covering the Miami Dolphins and the NFL.   Join our discord:  discord.gg/onlyfins Shop at our store:  https://onlyfins.printify.me Our Podcast Feed:  ht,1
MIN,aleclewis.bsky.social,Alec Lewis,"Minnesota Vikings beat writer @TheAthletic. Hosting Vikes pod, @AlecLewisShow. Mizzou alum from ‘Bama. alewis@theathletic.com. Let the kids write.",1
MIN,bengoessling.bsky.social,Ben Goessling,"Minnesota Vikings beat writer at Star Tribune; track/cross country ass't coach at Apple Valley and Augsburg. Husband, girl dad, sinner saved by grace.  Subscrib",1
MIN,matthewcoller.bsky.social,Matthew Coller,Former AM radio host. Current Vikings beat reporter for Purple Insider. Author: Football is a Numbers Game. Adopt greyhounds.,1
MIN,emleiker.bsky.social,Emily Leiker,vikings beat for star-tribune • mizzou made • washington-born • lover of all pop culture    📸 (IG) eleiker.writes  📧 emily.leiker@startribune.com,1
MIN,therealforno.bsky.social,Tyler Forness,"Vikings Beat Writer A to Z Sports, audio for Vikings 1st & SKOL and SKOR North. Adopt French Bulldogs from rescues. Business Inquiries: forno08@gmail.com",1
MIN,danemizutani.bsky.social,Dane Mizutani,Vikings beat writer for the Pioneer Press | Born in Hawaii. Somehow decided Minnesota was a better option.,1
MIN,jonkrawczynski.bsky.social,Jon Krawczynski,Timberwolves/NBA writer for The Athletic. Also covering Vikings and other Minnesota sports stories of note. 2024 People Sexiest Man Alive.   Podcast: The Jon Kr,0
MIN,kevinseifert.bsky.social,Kevin Seifert,"ESPN Minnesota Vikings/pro football reporter. An ""underrated good guy.” Slow and steady wins the race.",1
MIN,adampatricknfl.bsky.social,Adam Patrick,Lead NFL Editor for FanSided covering the Minnesota Vikings for TheVikingAge.com - Covered the Vikings and the NFL since 2013 - I don’t live in Minnesota - LFG ,1
NE,tkyles39.bsky.social,Taylor Kyles,Patriots beat reporter and analyst for @patriotsclns.bsky.social • @tkyles39 on the other app,1
NE,dougkyed.bsky.social,Doug Kyed,"Patriots beat reporter at the Boston Herald, Pats Chat Podcast, Olivia and Hallie's 🪽 dad",1
NE,christopherprice.bsky.social,Christopher Price,"Boston Globe | 22nd season on the Patriots’ beat | Author | I believe in democracy, special teams, and a good backup QB. | “I’ve been in the game since before y",1
NE,mark-daniels.bsky.social,Mark Daniels,Patriots beat writer for MassLive,1
NE,realalexbarth.bsky.social,Alex Barth,✍🏻&🗣️ Boston Sports for 98.5 The Sports Hub | Co-Host Patriots Catch-22 and Patriots Beat Podcasts,1
NE,thepatriotsbeat.bsky.social,Ben Belford-Peltzman,Creator and Writer of The Patriots Beat - WWHS Football Assistant Coach - @NewhouseSU ‘29 - NFL Draft enthusiast🎤@PatsNationNight,1
NE,nflbosnat.bsky.social,"NFL Reporters - Patriots, National","A feed of all the Patriots beat reporters who were on Twitter and moved here, as well as some national reporters and writers",1
NE,mikereiss.bsky.social,Mike Reiss,Patriots reporter for ESPN.,1
NE,andrewcallahan.bsky.social,Andrew Callahan,"Patriots reporter/columnist Boston Herald, Pats Interference podcast, X/IG/YouTube: @_AndrewCallahan.  “Rule No. 76: No excuses, play like a champion.”",1
NE,sophieewellerr.bsky.social,Sophie Weller,New England Patriots reporter for @AtoZSportsNFL @AtoZSports | past @masslivesports | UMass | business inquiries: sophieewellerr@gmail.com,1
NE,alexandrafrancisco.bsky.social,Alexandra Francisco,patriots team reporter • sports + lifestyle journalist • umass alumna • love tech + real estate + nature + food • amateur bio-hacker   🌎 boston | nyc | west pal,1
NE,chadgraff.bsky.social,Chad Graff,"Senior writer at The Athletic covering the Patriots. Adjunct professor at Northeastern. High-handicapped golfer, low-rated tennis player, seeker of a good old f",1
NE,nestpgs.bsky.social,Andrew Guindon,Sports Journalist | Covering the #Patriots for Pats Pulpit | Patriots Pulse Podcast | UMassAmherst mdcollegian newftbj,1
NO,rossjacksonnola.bsky.social,Ross Jackson,Locked On Saints Podcast Host | New Orleans Saints Beat Writer for LouisianaSports.Net | Saints Analyst at WWL-TV,1
NO,matthewparas.bsky.social,Matthew Paras,New Orleans Saints beat reporter for The Times-Picayune and The Advocate. DePaul alum.,1
NO,andyh1968.bsky.social,,"Enjoy most sports,love the Saints,beat cancer,still working,can’t wait for the weekend.",1
NO,alexblechman.bsky.social,Alex Blechman,"Writer, game designer Former Staff Writer @TheOnion & @ClickHole. Words for Netflix, Jackbox Games, High On Life, Starship Troopers: Terran Command, Saints Row,",1
NO,portland76er.bsky.social,Brandon L Lupian,@saints_info c/o 94 2017 @PCACsports TNS COY 2017 @ITA_Tennis California State TNS COY @SDCCKnightsTNS OG @saints ⚜️ reporter @1090 #WhoDatNation⚜️@portland76er,1
NO,tinahowellnola.bsky.social,Tina Howell,"Editor-in-Chief covering the Saints for Canal Street Chronicles • Credentialed Sports, Business and Community News Writer for Newsbreak, Biz New Orleans and Whe",1
NO,zewing.bsky.social,Zach Ewing,"Deputy sports editor for Times-Picayune and Advocate covering Saints and LSU. Podcast host, Saints Insider and LSU Insider.",1
NO,nickunderhill.bsky.social,Nick Underhill,Cover the Saints at NewOrleans.Football ,1
NYG,evanbarnes.bsky.social,Evan Barnes,"NY Giants beat reporter for Newsday. Previous stops: LA Daily News, The Commercial Appeal + more. We’ve moved on up to a new house in the (blue) sky?",1
NYG,miguardado.bsky.social,Maria I. Guardado,San Francisco Giants beat writer for MLB.com,0
NYG,charlottecrrll.bsky.social,Charlotte Carroll,New York Giants beat for The Athletic  ✶ ✶ ✶ ✶,1
NYG,lauriethomp.bsky.social,Laurie T,"LCSW, therapist, NC resister, wife, mom, gma and dog 🐾 lover. tRump despiser, LGBTQ friend, Slava Ukraine! Please excuse my French. ❤️ SF Giants. BEAT LA! No DM",1
NYG,ewebeck.bsky.social,Evan Webeck,San Francisco Giants beat writer for the San Jose Mercury News and East Bay Times. BBWAA.,1
NYG,ikycat.bsky.social,Maria McGrath,"Avid reader, gardener and home cook who loves a good laugh. SF Bay Area. Go Giants, Beat LA!",1
NYG,plonnfl.bsky.social,Pat Leonard,New York Daily News NFL columnist and Giants beat writer. Host of the Talkin’ Ball with Pat Leonard podcast on the Bleav Network. Subscribe on YouTube for Giant,1
NYG,andrewbaggarly.bsky.social,Andrew Baggarly,Senior writer covering the San Francisco Giants for The Athletic.,1
NYG,jordanraanan.bsky.social,Jordan Raanan,ESPN Giants reporter. Still a man of the people.,1
NYG,edvalentine.bsky.social,Ed Valentine,"Editor of BigBlueView.com, covering the NY Giants. Fully-credentialed. PFWA member. Proud grandpa. Bad golfer. Brian Daboll says I have swag.",1
NYG,dougrush.bsky.social,Doug Rush,"Carson, Peyton and Emma’s dad. Sports writer covering the Giants for GMenHQ at FanSided. Previously with: Asbury Park Press, Bleacher Report and Giants Wire at ",1
NYJ,wiebesworld.bsky.social,Ken Wiebe,Connection creator. Golf lover. Winnipeg Jets beat writer for the Winnipeg Free Press and co-host of the Kenny and Renny Show.,0
NYJ,antwanstaley.bsky.social,Antwan Staley,NY Jets/NFL Reporter for the New York Daily News,1
NYJ,connorhrabchak.bsky.social,Connor Hrabchak,Winnipeg Jets Reporter for Winnipeg Sports Talk 🎙️,0
NYJ,jamiethomastv.bsky.social,Jamie Thomas,"Host, Ground Control podcast/Winnipeg Jets team reporter",0
NYJ,zackblatt.bsky.social,Zack Rosenblatt,Senior Writer at The Athletic covering the Jets. Co-host of the Flight Plan podcast. Co-host of Jets Final Drive on SNY. University of Arizona alum.,1
NYJ,icdave.bsky.social,Dave Minuk,Editor of https://illegalcurve.com & analyst on the Illegal Curve Hockey & Post-Game Shows. Covering the NHL (Jets) & AHL (Moose).,0
NYJ,winnipeghockeytalk.bsky.social,Mitch@winnipeghockeytalk.com,"I am Mitch Kasprick, known as ""The Westdale Curmudgeon"". I am the owner/writer at winnipeghockeytalk.com and host of the WHT Podcast covering the Winnipeg Jets ",0
NYJ,richforestano.bsky.social,Rich Forestano,"Hofstra U '09, 2X NY Emmy Award-winner, Newsday marketing project manager. Former Mineola American editor/reporter, AP, Port Patch, Jets Insider stringer.",1
PHI,ej-smith.bsky.social,EJ Smith,Eagles beat reporter for the AllPHLY. Norristown native and living-room guitarist for my two Rhodesian Ridgebacks.,1
PHI,oliviareiner.bsky.social,Olivia Reiner,Eagles beat reporter for The Philadelphia Inquirer,1
PHI,bkubena.bsky.social,Brooks Kubena,Eagles beat reporter for The Athletic,1
PHI,jeff-neiburg.bsky.social,Jeff Neiburg,Eagles beat writer who also covers Villanova hoops and sometimes other things for @inquirer.com‬. Otherwise I’m probably watching The West Wing and eating ice c,1
PHI,jeff-mclane.bsky.social,Jeff McLane,Eagles reporter @ http://inquirer.com. Listen to my podcast “unCovering the Birds” https://www.audacy.com/podcast/uncovering-the-birds-with-jeff-mclane-e8fbc,1
PHI,eliotshorrparks.bsky.social,Eliot Shorr-Parks,** Eagles Reporter for http://94WIP.com ** Eagles Podcast: Go Birds! Pod w/ James Seltzer ** #TheBeatWriterYouNeed  ** #Leeds,1
PHI,timmcmanus42.bsky.social,Tim McManus,"NFL/Eagles reporter, ESPN.",1
PHI,jonathantamari.bsky.social,Jonathan Tamari,"Senior Congress Reporter - Bloomberg Government | Ex Philly Inquirer politics, Eagles reporter | Runner, dog person, Jersey Guy | Arsenal, Knicks commentary too",0
PHI,caydensteele.bsky.social,Cayden Steele,Eagles reporter for NJ.com. Temple alum.,1
PHI,sportstalkphl.bsky.social,Sports Talk Philly,"Covering the #Eagles, #Phillies, #Sixers, #Flyers & Other #Philly Sports Since 2011.",1
PIT,mikedefabo.bsky.social,Mike DeFabo,Steelers beat writer at The Athletic.,1
PIT,nickfarabaugh.bsky.social,Nick Farabaugh ,Pittsburgh Steelers beat reporter for PennLive | PFWA Member | Establish the Run,1
PIT,asaunderspgh.bsky.social,Alan Saunders,"Steelers beat writer for @PghSteelersNow, editor at @PghSportsNow, panelist @WPXIFinalWord.",1
PIT,chrishalicke.bsky.social,Chris Halicke,Steelers beat writer for @dkpittsburghsports.com | PFWA | BBWAA | Last name rhymes with Alec | I was in a metal band once | X/IG: chrishalicke,1
PIT,bepryor.bsky.social,Brooke Pryor,"ESPN NFL reporter covering the Steelers and other things. Nap lover, Bojangles aficionado.",1
PIT,dkpittsburghsports.com,DK Pittsburgh Sports,"Our city’s proud, pioneering independent journalism venture covering the Steelers, Penguins, Pirates, more! Visit us Downtown!",0
PIT,kevingorman.bsky.social,Kevin Gorman,Kieran’s dad. Ace’s son. ☘️  Fourth-generation Pittsburgher.  Covering the #Steelers and #Pirates for TribLive Sports.  To give is to receive.  Email: kgorman@t,1
SF,mford.bsky.social,Matt Ford,"Staff writer, The New Republic. Law, democracy, and the courts. 49ers/Dodgers stuff too.",1
