"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Lamar Jackson","BAL","QB","13593","weighted",249.398422857143,7.80290668105185,2.07968,0.182953596294484,0.627405714285714,0.205921646806608,34.0578057142857,9.23855676700718,0.144,0.0883463897742018,0.240209523809524,0.0360090556429114,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1997-01-07,NA,NA,NA,NA
"Bo Nix","DEN","QB","16582","weighted",226.566285714286,23.4957873046827,1.86508571428571,0.455592753565051,0.775337142857143,0.131815700239984,18.1911428571429,1.96905939761072,0.1532,0.0852087699050836,0.1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-02-25,NA,NA,NA,NA
"Jacoby Brissett","ARI","QB","12616","weighted",232.877565714286,13.7789885826947,1.40675428571429,0.612201945366678,0.635051428571429,0.213383651762983,14.26552,1.39503756962179,0.0904,0.0530929323843338,0.250485714285714,0.0346667242063326,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1992-12-11,NA,NA,NA,NA
"Josh Allen","BUF","QB","13589","weighted",238.969817142857,7.10873933227053,1.93772571428571,0.205308489748746,0.747165714285714,0.175956665968693,36.6662628571429,4.1227179715619,0.85816,0.173710446460695,0.2,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1996-05-21,NA,NA,NA,NA
"Jordan Love","GB","QB","14782","weighted",236.540468571429,9.12151521918177,2.01442285714286,0.0919074599577882,0.729634285714286,0.170654207945538,10.2148685714286,0.974014500760835,0.0633828571428571,0.0562520539219522,0.150485714285714,0.0346667242063326,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-11-02,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","weighted",226.365657142857,13.8740743765682,1.50627428571429,0.398926558044526,0.79048,0.16448388677176,26.7245828571429,4.14049336544277,0.129577142857143,0.0907032217868496,0.149514285714286,0.0346667242063326,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-10,NA,NA,NA,NA
"Trevor Lawrence","JAC","QB","15237","weighted",229.096685714286,15.9824257391157,1.82637714285714,0.18563073147109,0.778765714285714,0.125990805918735,20.3736571428571,4.58703003598388,0.262285714285714,0.147572850183833,0.120552380952381,0.0181495847878778,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-10-06,NA,NA,NA,NA
"Kirk Cousins","LVR","QB","10700","weighted",182.97488,46.3364884401661,1.29704,0.600232644092397,0.802377142857143,0.294983571268462,3.21995428571429,2.71879035166621,0.0262971428571429,0.0471472396969399,0.1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-08-19,NA,NA,NA,NA
"Michael Penix Jr.","ATL","QB","16583","weighted",203.285017142857,31.3036161206119,1.17632,0.213728858284467,0.829737142857143,0.17336276546523,6.80313142857143,1.28333951080799,0.0541828571428571,0.0505900690502661,0.2,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-05-08,NA,NA,NA,NA
"Geno Smith","NYJ","QB","11150","weighted",202.801074285714,26.1512547493214,1.27508571428571,0.309793197744159,0.764114285714286,0.223785145022649,13.6365142857143,2.6328340167182,0.0520571428571429,0.0697160721200425,0.0495142857142857,0.0346667242063326,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,1990-10-10,NA,NA,NA,NA
"Daniel Jones","IND","QB","14059","weighted",223.024011428571,12.8741688646181,1.29618285714286,0.432172314220051,0.782834285714286,0.153637674094434,12.5653142857143,3.08111922881724,0.125931428571429,0.106096585118511,0.149514285714286,0.0346667242063326,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-05-27,NA,NA,NA,NA
"Bryce Young","CAR","QB","16148","weighted",212.959782857143,13.9378040756436,1.86741714285714,0.336907193326292,0.726674285714286,0.153296585107573,16.5890857142857,2.28084629242972,0.179245714285714,0.106096492490582,0.149514285714286,0.0346667242063326,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-07-25,NA,NA,NA,NA
"Jalen Hurts","PHI","QB","14783","weighted",221.18824,8.80917935286517,1.52156571428571,0.447187793583904,0.637108571428571,0.226068766497076,28.86792,1.26462548499119,0.551005714285714,0.256182587329965,0.160761904761905,0.0356597134044533,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-08-07,NA,NA,NA,NA
"Kyler Murray","MIN","QB","14056","weighted",192.822057142857,44.3684514797342,1.21971428571429,0.256600183668339,0.826445714285714,0.189253132154266,26.3176685714286,10.4068909934992,0.189714285714286,0.161438007310355,0.150485714285714,0.0346667242063326,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-08-07,NA,NA,NA,NA
"Baker Mayfield","TB","QB","13590","weighted",212.421268571429,16.8276336596852,1.26618285714286,0.27153881507438,0.817108571428571,0.126294260524754,20.9109714285714,3.95063777443315,0.104537142857143,0.0699222698487545,0.399028571428571,0.0693334484126652,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1995-04-14,NA,NA,NA,NA
"Aaron Rodgers","PIT","QB","7836","weighted",217.464068571429,14.5230966991415,1.36725714285714,0.485791452492953,0.652148571428571,0.206014364533289,6.01784,2.28291745698948,0.07016,0.0455151178416765,0.2,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1983-12-02,NA,NA,NA,NA
"Malik Willis","MIA","QB","15694","weighted",202.9856,23.3322732255373,1.13448,0.303697769883686,0.737851428571428,0.190180853984282,28.2193828571429,8.40748746425092,0.1716,0.0948457226974668,0.200971428571429,0.0693334484126651,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-05-25,NA,NA,NA,NA
"Jaxson Dart","NYG","QB","17032","weighted",215.680056899004,7.99856051554383,1.85149359886202,0.382402280650473,0.658577524893314,0.223132552234636,33.8160455192034,1.55336946317335,0.332304409672831,0.242895156858806,0.161628733997155,0.0244561637164648,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2003-05-13,"Q","Knee - MCL",2026,3
"Drew Lock","SEA","QB","14057","weighted",107.395327234342,93.0656121288182,0.74899366643209,0.49815713967347,0.363954961294863,0.375121362770661,5.0554257565095,3.76336405731448,0.0505137227304715,0.0554610978708261,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1996-11-10,NA,NA,NA,NA
"Caleb Williams","CHI","QB","16579","weighted",184.183937885254,49.7873482747315,1.41218198700093,0.645223225972889,0.432479108635097,0.133747700621705,22.4178402086297,6.71549509813393,0.164753324437135,0.0522899590176395,0.1,1.60671664747888e-17,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2001-11-18,"D","Hamstring",2026,3
"Cam Ward","TEN","QB","17030","weighted",199.97824,15.36263983729,1.26336,0.379651503284591,0.627405714285714,0.205921646806608,12.2657028571429,0.866936875263088,0.140068571428571,0.110477887033658,0.3,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-05-25,NA,NA,NA,NA
"Deshaun Watson","CLE","QB","13113","weighted",203.496034285714,9.21306402592568,1.28940571428571,0.415491216664531,0.845634285714286,0.152798878875058,23.8812685714286,6.42820162386332,0.108217142857143,0.0714643605686568,0.2,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-14,NA,NA,NA,NA
"Tyson Bagent","CHI","QB","16384","weighted",117.558381421534,113.042342893012,0.666460239268121,0.607487917968768,0.407839549612949,0.370157667761087,6.37762139338494,6.71284300463698,0.0301196340605208,0.0531036437011398,0.0505981703026038,0.0397640205173361,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2000-06-08,NA,NA,NA,NA
"Jameis Winston","NYG","QB","12140","weighted",92.8992385714286,74.6449595586128,0.787375087966221,0.67293854834438,0.335777621393385,0.388824600795042,4.36057142857143,3.37370200629295,0.101257142857143,0.0690688000985587,0.150485714285714,0.0346667242063326,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1994-01-06,NA,NA,NA,NA
"Marcus Mariota","WAS","QB","12141","weighted",110.134159042928,91.7527320380371,0.687079521463758,0.490621413439879,0.515299085151302,0.43719963332119,18.0439127375088,14.3475490945558,0.0844475721323012,0.0991493290285318,0.1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1993-10-30,NA,NA,NA,NA
"Jayden Daniels","WAS","QB","16581","weighted",146.804990516833,36.7575825754812,1.2005756731662,0.406276076964884,0.441448467966574,0.145238538648166,32.8454480796586,12.5623137385971,0.166189396601882,0.0525569968353998,0.1,1.60671664747888e-17,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-12-18,"D","Elbow",2026,3
"Fernando Mendoza","LVR","QB","17462","weighted",40.9493814285714,36.7616287204858,0.270964109781844,0.223722600544252,0.148304011259676,0.176652814695927,2.23238571428571,1.93118684925325,0.0101546875,0.0212983758076138,0.0495142857142857,0.0346667242063326,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2003-10-01,NA,NA,NA,NA
"Spencer Rattler","NO","QB","16586","weighted",32.1442296072508,42.9255072115135,0.337502517623364,0.484489148377705,0.10527693856999,0.167443273181332,2.91158106747231,4.38607900032689,0,0,0.0982880161127895,0.10067599849647,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-09-28,NA,NA,NA,NA
"Cooper Rush","ATL","QB","13124","weighted",51.5192052980132,8.1317279836453,0.429933774834437,0.212132034355964,0.243311258278146,0.0707106781186547,2.05668874172185,0.0707106781186548,0,0,0.1,1.98041604282243e-17,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1993-11-21,NA,NA,NA,NA
"Shedeur Sanders","CLE","QB","17031","weighted",19.3176626323752,16.6460079231012,0.245196374622356,0.306031697356569,0.138207452165156,0.224936254011196,2.32501260716087,2.6115643855657,0,0,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-02-07,NA,NA,NA,NA
"J.J. McCarthy","MIN","QB","16584","weighted",23.2961145194274,18.7567116073596,0.266810477657935,0.332340187157677,0.161078582434515,0.197989898732233,2.01022494887526,1.99539485184677,0.0502556237218814,0.0498848712961693,0.1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2003-01-20,NA,NA,NA,NA
"Davis Mills","HOU","QB","15252","weighted",18.2234843907351,18.9438870928802,0.205780463242699,0.255711601361905,0.0723464249748238,0.11003072854234,1.69828801611279,2.05122252911469,0,0,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1998-10-21,NA,NA,NA,NA
"Joe Flacco","CIN","QB","9064","weighted",17.4691124558749,14.6073672145986,0.176092648539778,0.195371148222438,0.0394159113796576,0.0529608613811046,0.969465456379223,0.81073652950978,0,0,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1985-01-16,NA,NA,NA,NA
"Carson Wentz","MIN","QB","12610","weighted",22.2087352138308,14.5153097733542,0.207643312101911,0.102594716225524,0.0686988171064604,0.057001156100165,1.50627843494086,0.779215286640975,0,0,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1992-12-30,NA,NA,NA,NA
"Tyrod Taylor","GB","QB","10413","weighted",16.0390533736153,16.4757373747766,0.176092648539778,0.195371148222438,0.069103726082578,0.112468127005598,2.02759315206445,2.61031800694813,0,0,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1989-08-03,NA,NA,NA,NA
"Justin Fields","KC","QB","15238","weighted",13.8224029248613,8.94952500958315,0.146404833836858,0.135228148918522,0.0394159113796576,0.0529608613811046,2.82690368129097,2.9918952744541,0.0330307614725164,0.0470368842378801,0.049357034795764,0.0411300006735674,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-03-05,NA,NA,NA,NA
"Mac Jones","SF","QB","15241","weighted",11.9728315683308,6.19452393742979,0.110231621349446,0.084668957981035,0.0394159113796576,0.0529608613811046,0.742107917297025,0.523080235462227,0,0,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1998-09-05,NA,NA,NA,NA
